# Europe + Americas + Global Business families — coverage stats
# total	500
# qid_hits	500
# qid_miss	0

# by_country
country	IT	63
country	DE	61
country	GB	59
country	US	52
country	FR	34
country	RU	29
country	ES	22
country	PL	21
country	HU	20
country	SE	17
country	AT	16
country	BR	16
country	DK	14
country	AR	13
country	VA	12
country	CA	12
country	BE	11
country	MX	11
country	IN	11
country	RO	10
country	CL	10
country	GR	8
country	NO	7
country	LT	7
country	CO	7
country	AU	7
country	CH	6
country	HK	6
country	GB-SCT	5
country	PE	5
country	VE	5
country	NL	4
country	JP	4
country	ID	4
country	LU	3
country	UA	3
country	LI	2
country	MC	2
country	AD	2
country	BG	2
country	IE	2
country	CZ	2
country	BY	2
country	LB	2
country	RS	1
country	ME	1
country	PT	1
country	AL	1
country	GE	1
country	SK	1
country	FI	1
country	HR	1
country	PS	1
country	IQ	1
country	EG	1
country	MY	1
country	SG	1
country	CN	1
country	IL	1
country	TR	1

# by_category
category	noble	237
category	business	176
category	royal	57
category	political	24
category	clan	5
category	religious	1

# by_subcategory
subcategory	deposed-pretender	34
subcategory	us-business-dynasty	33
subcategory	mediatized	27
subcategory	italian-princely	26
subcategory	uk-ducal	24
subcategory	french-ducal	18
subcategory	black-nobility	14
subcategory	spanish-grandee	13
subcategory	hungarian-magnate	13
subcategory	swedish-noble	12
subcategory	global-business-dynasty	12
subcategory	canadian-tycoon	11
subcategory	reigning	10
subcategory	rurikid-princely	9
subcategory	russian-magnate	9
subcategory	polish-magnate	9
subcategory	global-consumer	8
subcategory	indian-tycoon	8
subcategory	us-political-dynasty	7
subcategory	global-luxury	7
subcategory	uk-earldom	6
subcategory	danish-noble	6
subcategory	global-retail	6
subcategory	uk-marquessal	5
subcategory	scottish-clan	5
subcategory	venezuelan-tycoon	5
subcategory	german-noble	4
subcategory	argentine-political	4
subcategory	argentine-business	4
subcategory	brazilian-banking	4
subcategory	mexican-political	4
subcategory	global-industrial	4
subcategory	indonesian-tycoon	4
subcategory	hk-tycoon	4
subcategory	multinational-royal	3
subcategory	polish-lithuanian-magnate	3
subcategory	rurikid-polish	3
subcategory	lithuanian-magnate	3
subcategory	norwegian-noble	3
subcategory	boston-brahmin	3
subcategory	argentine-criollo	3
subcategory	brazilian-industrial	3
subcategory	chilean-tycoon	3
subcategory	colombian-tycoon	3
subcategory	peruvian-tycoon	3
subcategory	global-pharma	3
subcategory	japanese-tycoon	3
subcategory	phanariote	3
subcategory	co-prince-andorra	2
subcategory	napoleonic	2
subcategory	spanish-political	2
subcategory	gediminid-russian	2
subcategory	transylvanian-princely	2
subcategory	us-political-business	2
subcategory	brazilian-media	2
subcategory	brazilian-construction	2
subcategory	mexican-tycoon	2
subcategory	chilean-retail	2
subcategory	chilean-banking	2
subcategory	colombian-industrial	2
subcategory	colombian-political	2
subcategory	peruvian-political	2
subcategory	global-finance-dynasty	2
subcategory	belgian-industrial	2
subcategory	australian-media	2
subcategory	australian-mining	2
subcategory	byzantine-extinct	2
subcategory	papal-finance	1
subcategory	polish-magnate-pretender	1
subcategory	uk-barony	1
subcategory	reigning-cadet	1
subcategory	uk-literary	1
subcategory	irish-ducal	1
subcategory	deposed-noble	1
subcategory	italian-noble	1
subcategory	spanish-papal	1
subcategory	lithuanian-rurikid	1
subcategory	circassian-russian	1
subcategory	russian-imperial-illegitimate	1
subcategory	ukrainian-russian	1
subcategory	georgian-russian	1
subcategory	hungarian-royal	1
subcategory	hungarian-princely	1
subcategory	swedish-danish-noble	1
subcategory	swedish-finnish-noble	1
subcategory	danish-german-noble	1
subcategory	us-uk-business	1
subcategory	us-finance-dynasty	1
subcategory	argentine-political-business	1
subcategory	argentine-tech	1
subcategory	brazilian-meat	1
subcategory	brazilian-retail	1
subcategory	brazilian-agri	1
subcategory	mexican-mining	1
subcategory	mexican-food	1
subcategory	mexican-industrial	1
subcategory	mexican-political-business	1
subcategory	mexican-media	1
subcategory	chilean-political-business	1
subcategory	chilean-criollo	1
subcategory	chilean-media	1
subcategory	canadian-business-historical	1
subcategory	global-cement	1
subcategory	swiss-political-business	1
subcategory	italian-political-business	1
subcategory	italian-business	1
subcategory	italian-retail	1
subcategory	uk-retail	1
subcategory	uk-consumer-historical	1
subcategory	uk-finance-dynasty	1
subcategory	dutch-business	1
subcategory	belgian-finance	1
subcategory	global-media	1
subcategory	australian-business-dynasty	1
subcategory	extinct	1
subcategory	uk-royal-consort	1
subcategory	german-noble-historical	1
subcategory	german-uk	1
